DATE,DEXUSUK
1986-04-04,1.4639000000000000
1986-04-11,1.4629000000000000
1986-04-18,1.5030400000000000
1986-04-25,1.5268000000000000
1986-05-02,1.5418400000000000
1986-05-09,1.5404000000000000
1986-05-16,1.5361600000000000
1986-05-23,1.5078400000000000
1986-05-30,1.4927000000000000
1986-06-06,1.4901000000000000
1986-06-13,1.5176000000000000
1986-06-20,1.5054000000000000
1986-06-27,1.5162000000000000
1986-07-04,1.5410000000000000
1986-07-11,1.5217400000000000
1986-07-18,1.5016000000000000
1986-07-25,1.4914000000000000
1986-08-01,1.4869000000000000
1986-08-08,1.4767000000000000
1986-08-15,1.4886400000000000
1986-08-22,1.4966200000000000
1986-08-29,1.4827600000000000
1986-09-05,1.4969250000000000
1986-09-12,1.4795000000000000
1986-09-19,1.4757600000000000
1986-09-26,1.4444400000000000
1986-10-03,1.4400600000000000
1986-10-10,1.4291400000000000
1986-10-17,1.4363750000000000
1986-10-24,1.4266600000000000
1986-10-31,1.4072600000000000
1986-11-07,1.4211800000000000
1986-11-14,1.4291750000000000
1986-11-21,1.4204400000000000
1986-11-28,1.4259250000000000
1986-12-05,1.4322600000000000
1986-12-12,1.4237000000000000
1986-12-19,1.4309000000000000
1986-12-26,1.4526250000000000
1987-01-02,1.4773250000000000
1987-01-09,1.4745000000000000
1987-01-16,1.5014600000000000
1987-01-23,1.5223750000000000
1987-01-30,1.5299000000000000
1987-02-06,1.5191800000000000
1987-02-13,1.5232000000000000
1987-02-20,1.5290000000000000
1987-02-27,1.5408000000000000
1987-03-06,1.5709600000000000
1987-03-13,1.5853400000000000
1987-03-20,1.5983600000000000
1987-03-27,1.6083600000000000
1987-04-03,1.6066000000000000
1987-04-10,1.6181600000000000
1987-04-17,1.6301000000000000
1987-04-24,1.6372800000000000
1987-05-01,1.6621400000000000
1987-05-08,1.6812600000000000
1987-05-15,1.6709600000000000
1987-05-22,1.6802600000000000
1987-05-29,1.6255000000000000
1987-06-05,1.6329800000000000
1987-06-12,1.6542600000000000
1987-06-19,1.6292000000000000
1987-06-26,1.6077200000000000
1987-07-03,1.6109200000000000
1987-07-10,1.6174600000000000
1987-07-17,1.6195600000000000
1987-07-24,1.5998000000000000
1987-07-31,1.5962000000000000
1987-08-07,1.5749000000000000
1987-08-14,1.5768200000000000
1987-08-21,1.6147600000000000
1987-08-28,1.6252400000000000
1987-09-04,1.6466800000000000
1987-09-11,1.6513000000000000
1987-09-18,1.6452000000000000
1987-09-25,1.6419400000000000
1987-10-02,1.6265000000000000
1987-10-09,1.6378600000000000
1987-10-16,1.6571250000000000
1987-10-23,1.6621000000000000
1987-10-30,1.7070000000000000
1987-11-06,1.7585400000000000
1987-11-13,1.7762500000000000
1987-11-20,1.7686400000000000
1987-11-27,1.7915000000000000
1987-12-04,1.8120200000000000
1987-12-11,1.8120400000000000
1987-12-18,1.8322600000000000
1987-12-25,1.8280500000000000
1988-01-01,1.8662500000000000
1988-01-08,1.8271600000000000
1988-01-15,1.8111800000000000
1988-01-22,1.7872750000000000
1988-01-29,1.7753800000000000
1988-02-05,1.7625600000000000
1988-02-12,1.7518000000000000
1988-02-19,1.7470000000000000
1988-02-26,1.7662000000000000
1988-03-04,1.7727000000000000
1988-03-11,1.8403400000000000
1988-03-18,1.8415000000000000
1988-03-25,1.8339400000000000
1988-04-01,1.8760600000000000
1988-04-08,1.8776400000000000
1988-04-15,1.8616000000000000
1988-04-22,1.8955000000000000
1988-04-29,1.8758600000000000
1988-05-06,1.8671400000000000
1988-05-13,1.8845000000000000
1988-05-20,1.8690800000000000
1988-05-27,1.8634000000000000
1988-06-03,1.8138000000000000
1988-06-10,1.8123000000000000
1988-06-17,1.7912000000000000
1988-06-24,1.7638600000000000
